DistanceID,DIST_START,DIST_END,DistanceDescrip
1,0,50,0-50m
10,0,25,0-25m
11,25,50,25-50m
12,50,75,50-75m
13,75,100,75-100m
14,75,Inf,>75m
15,50,Inf,>50M
16,100,125,100-125
17,125,150,125-150
18,0,60,0-60
19,60,Inf,>60
2,50,100,50-100m
20,150,Inf,>150m
21,100,150,100-150
22,100,175,100-175
23,0,30,0-30
24,30,50,30-50
25,0,75,0-75
26,0,80,0-80
27,0,10,0-10
28,10,20,10-20
29,20,30,20-30
3,100,Inf,>100m
30,30,40,30-40
31,40,50,40-50
32,50,60,50-60
33,60,70,60-70
34,70,80,70-80
35,80,90,80-90
36,90,100,90-100
37,100,125,100-125
38,10,25,10-25
39,0,Inf,recorder
4,NA,NA,cc edge
5,NA,NA,in forest away from clearcut
6,100,Inf,>>100m (likely diff habitat)
7,0,Inf,unlimited distance
8,0,100,0-100
9,NA,NA,unk
