DurationID,DUR_Descrip,TimeEquiv,Dur_Start,DUR_end
1,0-5,5,0,5
10,15-20,5,15,20
11,0-20,20,0,20
12,5-8,3,5,8
13,8-10,2,8,10
14,3-7,4,3,7
15,7-10,3,7,10
16,0-3.33,3.33,0,3.33
17,3.33-6.66,3.33,3.33,6.66
18,6.66,3.33,10,10
2,5-10,5,5,10
20,0-1,1,0,1
21,1-2,1,1,2
22,2-3,1,2,3
23,3-4,1,3,4
24,4-5,1,4,5
25,5-6,1,5,6
26,6-7,1,6,7
27,7-8,1,7,8
28,8-9,1,8,9
29,9-10,1,9,10
3,before or after,NA,NA,NA
30,0-2,2,0,2
4,0-10,10,0,10
5,0-3,3,0,3
6,3-10,7,3,10
7,3-5,2,3,5
8,unk,10,NA,NA
9,10-15,5,10,15
24a,4-5,1,4,5
25a,5-6,1,5,6
26a,6-7,1,6,7
27a,7-8,1,7,8
28a,8-9,1,8,9
29a,9-10,1,9,10
23a,3-4,1,3,4
