PROV_STATE,Other_qualifier,Timezone,UTC_offset,MDT_offset,use_this_if_no_TZ_found,remark
AK,,AKDT,-8,-2,1,
AB,,MDT,-6,0,1,
BC,"most part, coastal",PDT,-7,-1,0,
BC,mountains,MDT,-6,0,0,
MB,,CDT,-5,1,1,
NB,,EDT,-4,2,1,
NS,,ADT,-3,3,1,
PE,,ADT,-3,3,1,
PEI,,ADT,-3,3,1,
SK,,MDT,-6,0,1,MDT year round
WA,,PDT,-7,-1,1,
NL,,NDT,-2.5,3.5,1,
NT,mostly,MDT,-6,0,1,
NU,mostly,EDT,-4,2,1,
NY,,EDT,-4,2,1,
ON,W of -90 long,CDT,-5,1,0,
ON,E of -90 long,EDT,-4,2,0,
QC,,EDT,-4,2,1,
YT,,PDT,-7,-1,1,
OR,eastern part in MDT,PDT,-7,-1,1,
ID,northern part in PDT,MDT,-6,0,1,
MT,,MDT,-6,0,1,
WY,,MDT,-6,0,1,
ND,western part in MDT,CDT,-5,1,1,
SD,western part in MDT,CDT,-5,1,1,
NE,western part in MDT,CDT,-5,1,1,
MN,,CDT,-5,1,1,
IA,,CDT,-5,1,1,
WI,,CDT,-5,1,1,
MI,,EDT,-4,2,1,
IN,Northwestern and southwestern parts in CDT,EDT,-4,2,1,
OH,,EDT,-4,2,1,
PA,,EDT,-4,2,1,
NJ,,EDT,-4,2,1,
DE,,EDT,-4,2,1,
CT,,EDT,-4,2,1,
RI,,EDT,-4,2,1,
MA,,EDT,-4,2,1,
NH,,EDT,-4,2,1,
ME,,EDT,-4,2,1,
VT,,EDT,-4,2,1,
AK,,HADT,-9,-3,0,
QC,"Blanc Sablon, Quebec does not utilize Daylight Saving Time.",AST,-4,2,1,AST year round
